date,revenue,region,product,channel
2025-01-01,1000,North,A,Retail
2025-01-02,1020,South,A,Online
2025-01-03,980,North,B,Retail
2025-01-04,1100,East,A,Online
2025-01-05,1080,West,C,Retail
2025-01-06,1110,North,A,Online
2025-01-07,1095,South,B,Retail
2025-01-08,1130,East,C,Online
2025-01-09,1150,North,A,Retail
2025-01-10,1165,South,A,Online
2025-01-11,1120,East,B,Retail
2025-01-12,1180,West,C,Online
2025-01-13,1190,North,A,Retail
2025-01-14,1210,South,B,Online
2025-01-15,1225,East,A,Retail
2025-01-16,1240,West,C,Online
2025-01-17,1260,North,A,Retail
2025-01-18,1230,South,B,Online
2025-01-19,1275,East,A,Retail
2025-01-20,1290,West,C,Online
2025-01-21,1315,North,A,Retail
2025-01-22,1330,South,A,Online
2025-01-23,1300,East,B,Retail
2025-01-24,1360,West,C,Online
2025-01-25,1375,North,A,Retail
2025-01-26,1400,South,B,Online
2025-01-27,1410,East,A,Retail
2025-01-28,1380,West,C,Online
2025-01-29,1430,North,A,Retail
2025-01-30,1450,South,A,Online
2025-01-31,1475,East,B,Retail
2025-02-01,1490,West,C,Online
2025-02-02,1510,North,A,Retail
2025-02-03,1525,South,B,Online
2025-02-04,1540,East,A,Retail
2025-02-05,1560,West,C,Online
2025-02-06,1600,North,A,Retail
2025-02-07,1620,South,A,Online
2025-02-08,1590,East,B,Retail
2025-02-09,1650,West,C,Online
